,RW_mae_OOS,RW_mape_OOS,arima_mae_IS,arima_mae_OOS,arima_mape_IS,arima_mape_OOS,fc_IS,fc_OOS,fc_RW,store_id
10,16.0,0.459,6.0,5.0,0.449,0.211,"date
2017-08-25    11.125281
2017-08-26     7.140320
2017-08-27     5.543280
2017-08-28     0.768264
2017-08-29    -1.618257
                ...    
2021-01-13    18.413826
2021-01-14    23.519307
2021-01-15    26.298943
2021-01-16    43.795199
2021-01-17    39.720512
Freq: D, Name: predicted_mean, Length: 1242, dtype: float64","date
2021-01-18    18.920447
2021-01-19    23.011853
2021-01-20    24.102516
2021-01-21    18.265777
2021-01-22    30.590221
2021-01-23    43.653411
2021-01-24    50.275308
2021-01-25    21.246902
2021-01-26    24.375473
2021-01-27    30.163363
2021-01-28    21.317833
2021-01-29    35.119532
2021-01-30    46.774562
2021-01-31    56.865521
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    43.4184
2021-01-19    43.4184
2021-01-20    43.4184
2021-01-21    43.4184
2021-01-22    43.4184
2021-01-23    43.4184
2021-01-24    43.4184
2021-01-25    43.4184
2021-01-26    43.4184
2021-01-27    43.4184
2021-01-28    43.4184
2021-01-29    43.4184
2021-01-30    43.4184
2021-01-31    43.4184
Freq: D, Name: RW_forecast, dtype: float64",349972.0
11,10.0,0.628,4.0,3.0,0.446,0.316,"date
2017-08-17     4.541247
2017-08-18     3.110267
2017-08-19    -1.193413
2017-08-20    -1.187428
2017-08-21    -1.180843
                ...    
2021-01-13     7.642781
2021-01-14     8.282351
2021-01-15     5.865381
2021-01-16    21.879982
2021-01-17    19.765418
Freq: D, Name: predicted_mean, Length: 1250, dtype: float64","date
2021-01-18     8.725085
2021-01-19     6.358767
2021-01-20     6.123697
2021-01-21     5.988690
2021-01-22    16.985878
2021-01-23    16.377824
2021-01-24    17.784853
2021-01-25    14.210611
2021-01-26     5.230121
2021-01-27     5.391246
2021-01-28     9.789581
2021-01-29    16.061034
2021-01-30    16.826756
2021-01-31    27.479674
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    20.6484
2021-01-19    20.6484
2021-01-20    20.6484
2021-01-21    20.6484
2021-01-22    20.6484
2021-01-23    20.6484
2021-01-24    20.6484
2021-01-25    20.6484
2021-01-26    20.6484
2021-01-27    20.6484
2021-01-28    20.6484
2021-01-29    20.6484
2021-01-30    20.6484
2021-01-31    20.6484
Freq: D, Name: RW_forecast, dtype: float64",349978.0
12,13.0,0.353,7.0,5.0,0.431,0.146,"date
2017-08-18     2.284215
2017-08-19    -3.648277
2017-08-20    -3.658275
2017-08-21    -3.666892
2017-08-22    -3.674012
                ...    
2021-01-13    28.849868
2021-01-14    40.104495
2021-01-15    23.004745
2021-01-16    27.703695
2021-01-17    41.706827
Freq: D, Name: predicted_mean, Length: 1249, dtype: float64","date
2021-01-18    21.306483
2021-01-19    23.791921
2021-01-20    22.590059
2021-01-21    27.594660
2021-01-22    35.954904
2021-01-23    47.479908
2021-01-24    62.471175
2021-01-25    25.153334
2021-01-26    32.005420
2021-01-27    34.055992
2021-01-28    31.402121
2021-01-29    35.521737
2021-01-30    38.424735
2021-01-31    69.316743
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    39.91881
2021-01-19    39.91881
2021-01-20    39.91881
2021-01-21    39.91881
2021-01-22    39.91881
2021-01-23    39.91881
2021-01-24    39.91881
2021-01-25    39.91881
2021-01-26    39.91881
2021-01-27    39.91881
2021-01-28    39.91881
2021-01-29    39.91881
2021-01-30    39.91881
2021-01-31    39.91881
Freq: D, Name: RW_forecast, dtype: float64",349980.0
13,10.0,0.515,4.0,4.0,0.439,0.228,"date
2017-09-01     0.398703
2017-09-02    -1.048597
2017-09-03    -1.780765
2017-09-04    -1.797867
2017-09-05    -1.813707
                ...    
2021-01-13    14.468832
2021-01-14    16.523447
2021-01-15    12.163878
2021-01-16    18.242124
2021-01-17    19.819084
Freq: D, Name: predicted_mean, Length: 1235, dtype: float64","date
2021-01-18     9.636501
2021-01-19    11.925089
2021-01-20     9.768475
2021-01-21    10.302921
2021-01-22    27.539960
2021-01-23    32.584037
2021-01-24    33.182947
2021-01-25    12.057002
2021-01-26    15.384967
2021-01-27    10.297214
2021-01-28    11.344283
2021-01-29    14.647581
2021-01-30    20.231231
2021-01-31    27.905495
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    24.157
2021-01-19    24.157
2021-01-20    24.157
2021-01-21    24.157
2021-01-22    24.157
2021-01-23    24.157
2021-01-24    24.157
2021-01-25    24.157
2021-01-26    24.157
2021-01-27    24.157
2021-01-28    24.157
2021-01-29    24.157
2021-01-30    24.157
2021-01-31    24.157
Freq: D, Name: RW_forecast, dtype: float64",349998.0
14,25.0,0.663,4.0,6.0,0.416,0.207,"date
2017-08-17    -0.892707
2017-08-18    -0.923211
2017-08-19     0.319639
2017-08-20    -0.987079
2017-08-21    -1.020341
                ...    
2021-01-13    22.006272
2021-01-14    23.751931
2021-01-15    18.421379
2021-01-16    30.188211
2021-01-17    38.973056
Freq: D, Name: predicted_mean, Length: 1250, dtype: float64","date
2021-01-18    23.370935
2021-01-19    26.350903
2021-01-20    25.531632
2021-01-21    18.767224
2021-01-22    31.354570
2021-01-23    42.329002
2021-01-24    55.423524
2021-01-25    21.375598
2021-01-26    31.893561
2021-01-27    26.649800
2021-01-28    25.219321
2021-01-29    32.496697
2021-01-30    36.391405
2021-01-31    56.598121
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    52.4748
2021-01-19    52.4748
2021-01-20    52.4748
2021-01-21    52.4748
2021-01-22    52.4748
2021-01-23    52.4748
2021-01-24    52.4748
2021-01-25    52.4748
2021-01-26    52.4748
2021-01-27    52.4748
2021-01-28    52.4748
2021-01-29    52.4748
2021-01-30    52.4748
2021-01-31    52.4748
Freq: D, Name: RW_forecast, dtype: float64",350016.0
15,106.0,0.968,9.0,20.0,0.413,0.262,"date
2017-08-17     -0.836756
2017-08-18      1.393504
2017-08-19     -1.052046
2017-08-20     -4.276766
2017-08-21     -4.385382
                 ...    
2021-01-13     30.573101
2021-01-14     39.704486
2021-01-15     81.097461
2021-01-16     99.771729
2021-01-17    140.835501
Freq: D, Name: predicted_mean, Length: 1250, dtype: float64","date
2021-01-18     54.864802
2021-01-19     39.933012
2021-01-20     41.322329
2021-01-21     41.191362
2021-01-22     92.472026
2021-01-23    142.388737
2021-01-24    189.535301
2021-01-25     61.443633
2021-01-26     49.839512
2021-01-27     36.773753
2021-01-28     52.420857
2021-01-29     68.433328
2021-01-30    125.560472
2021-01-31    178.707743
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    170.9275
2021-01-19    170.9275
2021-01-20    170.9275
2021-01-21    170.9275
2021-01-22    170.9275
2021-01-23    170.9275
2021-01-24    170.9275
2021-01-25    170.9275
2021-01-26    170.9275
2021-01-27    170.9275
2021-01-28    170.9275
2021-01-29    170.9275
2021-01-30    170.9275
2021-01-31    170.9275
Freq: D, Name: RW_forecast, dtype: float64",350018.0
16,4.0,0.24,3.0,4.0,0.45,0.299,"date
2017-08-18     0.237198
2017-08-19     1.655028
2017-08-20    -1.250576
2017-08-21    -1.273396
2017-08-22    -0.575248
                ...    
2021-01-13     9.580471
2021-01-14     8.962756
2021-01-15    12.795826
2021-01-16    12.400434
2021-01-17    12.034158
Freq: D, Name: predicted_mean, Length: 1249, dtype: float64","date
2021-01-18     9.340179
2021-01-19     6.274999
2021-01-20     7.842162
2021-01-21     7.952090
2021-01-22    15.865815
2021-01-23    22.602269
2021-01-24    19.569416
2021-01-25    12.665168
2021-01-26    11.961701
2021-01-27    12.550992
2021-01-28     8.867716
2021-01-29    16.080322
2021-01-30    24.844973
2021-01-31    14.254066
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    12.0214
2021-01-19    12.0214
2021-01-20    12.0214
2021-01-21    12.0214
2021-01-22    12.0214
2021-01-23    12.0214
2021-01-24    12.0214
2021-01-25    12.0214
2021-01-26    12.0214
2021-01-27    12.0214
2021-01-28    12.0214
2021-01-29    12.0214
2021-01-30    12.0214
2021-01-31    12.0214
Freq: D, Name: RW_forecast, dtype: float64",350026.0
17,11.0,0.733,3.0,3.0,0.436,0.293,"date
2017-08-18     1.390900
2017-08-19     3.389799
2017-08-20    -1.337624
2017-08-21    -1.356231
2017-08-22    -1.374450
                ...    
2021-01-13     7.065707
2021-01-14    10.496700
2021-01-15     6.203627
2021-01-16     9.930350
2021-01-17    17.967552
Freq: D, Name: predicted_mean, Length: 1249, dtype: float64","date
2021-01-18     8.917231
2021-01-19     8.241755
2021-01-20     7.101415
2021-01-21     7.779463
2021-01-22     8.469336
2021-01-23    12.011226
2021-01-24    15.313368
2021-01-25     6.610422
2021-01-26    12.530448
2021-01-27    11.285814
2021-01-28     8.940549
2021-01-29     4.683312
2021-01-30    14.792804
2021-01-31    19.992890
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    20.923
2021-01-19    20.923
2021-01-20    20.923
2021-01-21    20.923
2021-01-22    20.923
2021-01-23    20.923
2021-01-24    20.923
2021-01-25    20.923
2021-01-26    20.923
2021-01-27    20.923
2021-01-28    20.923
2021-01-29    20.923
2021-01-30    20.923
2021-01-31    20.923
Freq: D, Name: RW_forecast, dtype: float64",350028.0
18,32.0,1.063,6.0,9.0,0.499,0.48,"date
2017-09-05    -2.308129
2017-09-06    -0.733839
2017-09-07    -3.182267
2017-09-08     0.813107
2017-09-09    -0.018461
                ...    
2021-01-13    24.961405
2021-01-14    18.722198
2021-01-15    28.208118
2021-01-16    28.073990
2021-01-17    41.947325
Freq: D, Name: predicted_mean, Length: 1231, dtype: float64","date
2021-01-18    13.598478
2021-01-19    13.431365
2021-01-20    19.979688
2021-01-21    17.680914
2021-01-22    38.557894
2021-01-23    33.672169
2021-01-24    38.488203
2021-01-25    13.828158
2021-01-26     8.341567
2021-01-27    23.455249
2021-01-28    15.318447
2021-01-29    24.702046
2021-01-30    31.746519
2021-01-31    38.532079
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    48.3559
2021-01-19    48.3559
2021-01-20    48.3559
2021-01-21    48.3559
2021-01-22    48.3559
2021-01-23    48.3559
2021-01-24    48.3559
2021-01-25    48.3559
2021-01-26    48.3559
2021-01-27    48.3559
2021-01-28    48.3559
2021-01-29    48.3559
2021-01-30    48.3559
2021-01-31    48.3559
Freq: D, Name: RW_forecast, dtype: float64",350040.0
19,4.0,0.417,3.0,2.0,0.502,0.191,"date
2017-09-06     1.099997
2017-09-07     1.089084
2017-09-08    -1.550115
2017-09-09     1.070010
2017-09-10    -1.567270
                ...    
2021-01-13     3.678934
2021-01-14     9.270685
2021-01-15    11.925698
2021-01-16    14.986257
2021-01-17    16.777516
Freq: D, Name: predicted_mean, Length: 1230, dtype: float64","date
2021-01-18     5.969588
2021-01-19     4.585053
2021-01-20     7.237757
2021-01-21    12.125373
2021-01-22    10.454077
2021-01-23    16.887454
2021-01-24    10.114558
2021-01-25     6.949610
2021-01-26     4.086671
2021-01-27    12.055761
2021-01-28    16.910894
2021-01-29     9.650676
2021-01-30    19.307737
2021-01-31    15.280530
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    12.8557
2021-01-19    12.8557
2021-01-20    12.8557
2021-01-21    12.8557
2021-01-22    12.8557
2021-01-23    12.8557
2021-01-24    12.8557
2021-01-25    12.8557
2021-01-26    12.8557
2021-01-27    12.8557
2021-01-28    12.8557
2021-01-29    12.8557
2021-01-30    12.8557
2021-01-31    12.8557
Freq: D, Name: RW_forecast, dtype: float64",350046.0
