,RW_mae_OOS,RW_mape_OOS,arima_mae_IS,arima_mae_OOS,arima_mape_IS,arima_mape_OOS,fc_IS,fc_OOS,fc_RW,store_id
10,31.0,0.557,12.0,13.0,0.478,0.285,"2018-09-28    -4.480038
2018-09-29    -4.559495
2018-09-30    -4.690737
2018-10-01    -4.812364
2018-10-02    -4.927494
                ...    
2021-01-13    35.276920
2021-01-14    26.891017
2021-01-15    27.438976
2021-01-16    43.669041
2021-01-17    69.172199
Freq: D, Name: predicted_mean, Length: 843, dtype: float64","date
2021-01-18    28.047029
2021-01-19    29.024496
2021-01-20    37.307272
2021-01-21    30.032948
2021-01-22    35.500128
2021-01-23    42.352479
2021-01-24    62.780961
2021-01-25    22.693915
2021-01-26    25.732076
2021-01-27    36.598654
2021-01-28    23.930253
2021-01-29    28.849342
2021-01-30    44.075861
2021-01-31    66.210640
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    72.3246
2021-01-19    72.3246
2021-01-20    72.3246
2021-01-21    72.3246
2021-01-22    72.3246
2021-01-23    72.3246
2021-01-24    72.3246
2021-01-25    72.3246
2021-01-26    72.3246
2021-01-27    72.3246
2021-01-28    72.3246
2021-01-29    72.3246
2021-01-30    72.3246
2021-01-31    72.3246
Freq: D, Name: RW_forecast, dtype: float64",528854.0
11,60.0,0.944,13.0,12.0,0.538,0.44,"2019-01-12     11.910146
2019-01-13     11.395060
2019-01-14     10.887367
2019-01-15     10.249520
2019-01-16      9.597301
                 ...    
2021-01-13     24.978126
2021-01-14     38.010101
2021-01-15     48.030563
2021-01-16     69.994747
2021-01-17    110.181779
Freq: D, Name: predicted_mean, Length: 737, dtype: float64","date
2021-01-18    12.255934
2021-01-19    19.480640
2021-01-20    21.096831
2021-01-21    32.542853
2021-01-22    53.396685
2021-01-23    84.898377
2021-01-24    85.341826
2021-01-25     4.599781
2021-01-26    12.349496
2021-01-27    13.133995
2021-01-28    26.163025
2021-01-29    35.952820
2021-01-30    76.535764
2021-01-31    89.398218
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    102.1793
2021-01-19    102.1793
2021-01-20    102.1793
2021-01-21    102.1793
2021-01-22    102.1793
2021-01-23    102.1793
2021-01-24    102.1793
2021-01-25    102.1793
2021-01-26    102.1793
2021-01-27    102.1793
2021-01-28    102.1793
2021-01-29    102.1793
2021-01-30    102.1793
2021-01-31    102.1793
Freq: D, Name: RW_forecast, dtype: float64",566790.0
12,9.0,0.334,7.0,7.0,0.507,0.298,"date
2017-08-17    -3.323634
2017-08-18    -3.367732
2017-08-19    -3.412305
2017-08-20    -3.457193
2017-08-21    -3.501995
                ...    
2021-01-13    18.157365
2021-01-14    28.047593
2021-01-15    12.685314
2021-01-16    16.967546
2021-01-17    36.345134
Freq: D, Name: predicted_mean, Length: 1250, dtype: float64","date
2021-01-18    13.599000
2021-01-19    19.697169
2021-01-20    21.166422
2021-01-21    22.915547
2021-01-22    15.282627
2021-01-23    25.614045
2021-01-24    28.170048
2021-01-25    10.914297
2021-01-26    19.115761
2021-01-27    19.331893
2021-01-28    18.422949
2021-01-29    12.538973
2021-01-30    24.211158
2021-01-31    29.001826
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    29.9636
2021-01-19    29.9636
2021-01-20    29.9636
2021-01-21    29.9636
2021-01-22    29.9636
2021-01-23    29.9636
2021-01-24    29.9636
2021-01-25    29.9636
2021-01-26    29.9636
2021-01-27    29.9636
2021-01-28    29.9636
2021-01-29    29.9636
2021-01-30    29.9636
2021-01-31    29.9636
Freq: D, Name: RW_forecast, dtype: float64",307248.0
13,11.0,0.497,7.0,11.0,0.567,0.566,"date
2017-08-25    -3.880812
2017-08-26    -3.886526
2017-08-27    -3.892073
2017-08-28    -3.892222
2017-08-29    -3.891309
                ...    
2021-01-13    10.694593
2021-01-14    14.052586
2021-01-15     4.869621
2021-01-16    14.995844
2021-01-17    18.152426
Freq: D, Name: predicted_mean, Length: 1242, dtype: float64","date
2021-01-18    10.625621
2021-01-19     8.240701
2021-01-20    10.161871
2021-01-21    13.918175
2021-01-22     7.096589
2021-01-23    16.643970
2021-01-24    16.640709
2021-01-25     8.075794
2021-01-26     5.865687
2021-01-27     6.895672
2021-01-28    11.316664
2021-01-29     6.072968
2021-01-30    14.293881
2021-01-31    17.299859
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    21.2306
2021-01-19    21.2306
2021-01-20    21.2306
2021-01-21    21.2306
2021-01-22    21.2306
2021-01-23    21.2306
2021-01-24    21.2306
2021-01-25    21.2306
2021-01-26    21.2306
2021-01-27    21.2306
2021-01-28    21.2306
2021-01-29    21.2306
2021-01-30    21.2306
2021-01-31    21.2306
Freq: D, Name: RW_forecast, dtype: float64",320264.0
14,28.0,0.729,7.0,8.0,0.538,0.288,"date
2017-08-23    -3.635644
2017-08-24    -3.677059
2017-08-25    -3.716868
2017-08-26    -3.752927
2017-08-27    -3.788270
                ...    
2021-01-13    15.436821
2021-01-14    32.819328
2021-01-15    20.003763
2021-01-16    18.498060
2021-01-17    36.277008
Freq: D, Name: predicted_mean, Length: 1244, dtype: float64","date
2021-01-18    36.042542
2021-01-19    29.333881
2021-01-20    25.470411
2021-01-21    27.204431
2021-01-22    25.192120
2021-01-23    25.137467
2021-01-24    37.875742
2021-01-25    26.949967
2021-01-26    22.598407
2021-01-27    19.470065
2021-01-28    20.854806
2021-01-29    21.799286
2021-01-30    23.542608
2021-01-31    37.764546
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    53.3448
2021-01-19    53.3448
2021-01-20    53.3448
2021-01-21    53.3448
2021-01-22    53.3448
2021-01-23    53.3448
2021-01-24    53.3448
2021-01-25    53.3448
2021-01-26    53.3448
2021-01-27    53.3448
2021-01-28    53.3448
2021-01-29    53.3448
2021-01-30    53.3448
2021-01-31    53.3448
Freq: D, Name: RW_forecast, dtype: float64",349952.0
15,16.0,0.459,8.0,10.0,0.542,0.31,"date
2017-08-25    -4.912399
2017-08-26    -4.948367
2017-08-27    -4.983530
2017-08-28    -5.017517
2017-08-29    -5.048553
                ...    
2021-01-13    18.789849
2021-01-14    25.991497
2021-01-15    26.607191
2021-01-16    44.688302
2021-01-17    37.827137
Freq: D, Name: predicted_mean, Length: 1242, dtype: float64","date
2021-01-18    26.702697
2021-01-19    24.719512
2021-01-20    28.925259
2021-01-21    21.324273
2021-01-22    30.798819
2021-01-23    39.746354
2021-01-24    35.665046
2021-01-25    19.216401
2021-01-26    18.792860
2021-01-27    24.156201
2021-01-28    18.810847
2021-01-29    27.128979
2021-01-30    38.413505
2021-01-31    34.413862
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    43.4184
2021-01-19    43.4184
2021-01-20    43.4184
2021-01-21    43.4184
2021-01-22    43.4184
2021-01-23    43.4184
2021-01-24    43.4184
2021-01-25    43.4184
2021-01-26    43.4184
2021-01-27    43.4184
2021-01-28    43.4184
2021-01-29    43.4184
2021-01-30    43.4184
2021-01-31    43.4184
Freq: D, Name: RW_forecast, dtype: float64",349972.0
16,10.0,0.515,5.0,6.0,0.506,0.316,"date
2017-09-01    -2.598349
2017-09-02    -2.604503
2017-09-03    -2.608839
2017-09-04    -2.611486
2017-09-05    -2.612055
                ...    
2021-01-13    13.138269
2021-01-14    17.885914
2021-01-15    13.370431
2021-01-16    18.350624
2021-01-17    22.748101
Freq: D, Name: predicted_mean, Length: 1235, dtype: float64","date
2021-01-18     9.646549
2021-01-19    13.200411
2021-01-20    12.393140
2021-01-21    14.171566
2021-01-22    14.957850
2021-01-23    17.025537
2021-01-24    20.254769
2021-01-25     8.634457
2021-01-26    11.666420
2021-01-27    10.870582
2021-01-28    11.385898
2021-01-29    12.494012
2021-01-30    16.591660
2021-01-31    21.154720
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    24.157
2021-01-19    24.157
2021-01-20    24.157
2021-01-21    24.157
2021-01-22    24.157
2021-01-23    24.157
2021-01-24    24.157
2021-01-25    24.157
2021-01-26    24.157
2021-01-27    24.157
2021-01-28    24.157
2021-01-29    24.157
2021-01-30    24.157
2021-01-31    24.157
Freq: D, Name: RW_forecast, dtype: float64",349998.0
17,25.0,0.663,5.0,7.0,0.503,0.268,"date
2017-08-17    -1.642073
2017-08-18    -1.672886
2017-08-19    -1.704500
2017-08-20    -1.736564
2017-08-21    -1.769392
                ...    
2021-01-13    21.858925
2021-01-14    27.001611
2021-01-15    19.964972
2021-01-16    34.517562
2021-01-17    40.644175
Freq: D, Name: predicted_mean, Length: 1250, dtype: float64","date
2021-01-18    23.048171
2021-01-19    28.513981
2021-01-20    28.214308
2021-01-21    26.829985
2021-01-22    28.440115
2021-01-23    32.554854
2021-01-24    45.230813
2021-01-25    18.796708
2021-01-26    27.598868
2021-01-27    24.484487
2021-01-28    24.005868
2021-01-29    25.076250
2021-01-30    30.329535
2021-01-31    51.258362
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    52.4748
2021-01-19    52.4748
2021-01-20    52.4748
2021-01-21    52.4748
2021-01-22    52.4748
2021-01-23    52.4748
2021-01-24    52.4748
2021-01-25    52.4748
2021-01-26    52.4748
2021-01-27    52.4748
2021-01-28    52.4748
2021-01-29    52.4748
2021-01-30    52.4748
2021-01-31    52.4748
Freq: D, Name: RW_forecast, dtype: float64",350016.0
18,4.0,0.24,4.0,6.0,0.544,0.52,"date
2017-08-18    -1.620880
2017-08-19    -1.639721
2017-08-20    -1.658267
2017-08-21    -1.676536
2017-08-22    -1.694400
                ...    
2021-01-13     9.972191
2021-01-14     8.234839
2021-01-15    13.555591
2021-01-16    14.573202
2021-01-17    12.931216
Freq: D, Name: predicted_mean, Length: 1249, dtype: float64","date
2021-01-18     7.009889
2021-01-19     5.236675
2021-01-20     7.355338
2021-01-21     6.444504
2021-01-22    12.535339
2021-01-23    14.700854
2021-01-24    12.706027
2021-01-25     6.585783
2021-01-26     6.497378
2021-01-27     7.253536
2021-01-28     6.015026
2021-01-29    11.502301
2021-01-30    14.232715
2021-01-31    13.226215
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    12.0214
2021-01-19    12.0214
2021-01-20    12.0214
2021-01-21    12.0214
2021-01-22    12.0214
2021-01-23    12.0214
2021-01-24    12.0214
2021-01-25    12.0214
2021-01-26    12.0214
2021-01-27    12.0214
2021-01-28    12.0214
2021-01-29    12.0214
2021-01-30    12.0214
2021-01-31    12.0214
Freq: D, Name: RW_forecast, dtype: float64",350026.0
19,17.0,0.576,6.0,8.0,0.514,0.279,"date
2017-09-07    -1.295859
2017-09-08    -1.371062
2017-09-09    -1.445328
2017-09-10    -1.518501
2017-09-11    -1.590429
                ...    
2021-01-13    15.614482
2021-01-14    24.142658
2021-01-15    31.783236
2021-01-16    22.433421
2021-01-17    31.846333
Freq: D, Name: predicted_mean, Length: 1229, dtype: float64","date
2021-01-18    20.549121
2021-01-19    14.298297
2021-01-20    20.358709
2021-01-21    28.272578
2021-01-22    28.282665
2021-01-23    27.269057
2021-01-24    34.092947
2021-01-25    17.547433
2021-01-26    13.692845
2021-01-27    19.616297
2021-01-28    26.094002
2021-01-29    24.720023
2021-01-30    24.308281
2021-01-31    38.158218
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    37.8958
2021-01-19    37.8958
2021-01-20    37.8958
2021-01-21    37.8958
2021-01-22    37.8958
2021-01-23    37.8958
2021-01-24    37.8958
2021-01-25    37.8958
2021-01-26    37.8958
2021-01-27    37.8958
2021-01-28    37.8958
2021-01-29    37.8958
2021-01-30    37.8958
2021-01-31    37.8958
Freq: D, Name: RW_forecast, dtype: float64",350054.0
