,RW_mae_OOS,RW_mape_OOS,arima_mae_IS,arima_mae_OOS,arima_mape_IS,arima_mape_OOS,fc_IS,fc_OOS,fc_RW,store_id
10,16.0,0.459,8.0,10.0,0.542,0.31,"date
2017-08-25    -4.912337
2017-08-26    -4.948306
2017-08-27    -4.983469
2017-08-28    -5.017456
2017-08-29    -5.048493
                ...    
2021-01-13    18.789946
2021-01-14    25.991549
2021-01-15    26.607389
2021-01-16    44.688355
2021-01-17    37.827434
Freq: D, Name: predicted_mean, Length: 1242, dtype: float64","date
2021-01-18    26.702862
2021-01-19    24.719889
2021-01-20    28.925642
2021-01-21    21.324695
2021-01-22    30.799223
2021-01-23    39.746717
2021-01-24    35.665370
2021-01-25    19.216761
2021-01-26    18.793286
2021-01-27    24.156582
2021-01-28    18.811235
2021-01-29    27.129328
2021-01-30    38.413833
2021-01-31    34.414160
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    43.4184
2021-01-19    43.4184
2021-01-20    43.4184
2021-01-21    43.4184
2021-01-22    43.4184
2021-01-23    43.4184
2021-01-24    43.4184
2021-01-25    43.4184
2021-01-26    43.4184
2021-01-27    43.4184
2021-01-28    43.4184
2021-01-29    43.4184
2021-01-30    43.4184
2021-01-31    43.4184
Freq: D, Name: RW_forecast, dtype: float64",349972.0
11,10.0,0.628,6.0,4.0,0.532,0.388,"date
2017-08-17    -1.532008
2017-08-18    -1.533512
2017-08-19    -1.535930
2017-08-20    -1.538423
2017-08-21    -1.540233
                ...    
2021-01-13     9.502183
2021-01-14     7.778877
2021-01-15     4.207364
2021-01-16    23.166879
2021-01-17    19.440261
Freq: D, Name: predicted_mean, Length: 1250, dtype: float64","date
2021-01-18    10.310982
2021-01-19     8.092545
2021-01-20     8.028233
2021-01-21     7.797634
2021-01-22    16.296270
2021-01-23    15.119243
2021-01-24    16.747838
2021-01-25     7.431357
2021-01-26     5.011623
2021-01-27     7.040175
2021-01-28     5.337978
2021-01-29    16.247380
2021-01-30    13.331840
2021-01-31    17.548500
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    20.6484
2021-01-19    20.6484
2021-01-20    20.6484
2021-01-21    20.6484
2021-01-22    20.6484
2021-01-23    20.6484
2021-01-24    20.6484
2021-01-25    20.6484
2021-01-26    20.6484
2021-01-27    20.6484
2021-01-28    20.6484
2021-01-29    20.6484
2021-01-30    20.6484
2021-01-31    20.6484
Freq: D, Name: RW_forecast, dtype: float64",349978.0
12,13.0,0.353,9.0,13.0,0.515,0.389,"date
2017-08-18    -5.076636
2017-08-19    -5.099233
2017-08-20    -5.122597
2017-08-21    -5.144185
2017-08-22    -5.162262
                ...    
2021-01-13    29.309724
2021-01-14    40.393326
2021-01-15    19.534469
2021-01-16    29.462961
2021-01-17    54.805462
Freq: D, Name: predicted_mean, Length: 1249, dtype: float64","date
2021-01-18    16.117052
2021-01-19    16.908588
2021-01-20    26.408798
2021-01-21    24.527933
2021-01-22    27.767213
2021-01-23    29.848932
2021-01-24    41.440192
2021-01-25    15.722555
2021-01-26    18.160871
2021-01-27    26.111571
2021-01-28    22.103854
2021-01-29    24.859563
2021-01-30    28.460970
2021-01-31    41.342724
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    39.91881
2021-01-19    39.91881
2021-01-20    39.91881
2021-01-21    39.91881
2021-01-22    39.91881
2021-01-23    39.91881
2021-01-24    39.91881
2021-01-25    39.91881
2021-01-26    39.91881
2021-01-27    39.91881
2021-01-28    39.91881
2021-01-29    39.91881
2021-01-30    39.91881
2021-01-31    39.91881
Freq: D, Name: RW_forecast, dtype: float64",349980.0
13,10.0,0.515,5.0,6.0,0.506,0.316,"date
2017-09-01    -2.598361
2017-09-02    -2.604515
2017-09-03    -2.608851
2017-09-04    -2.611498
2017-09-05    -2.612067
                ...    
2021-01-13    13.138380
2021-01-14    17.885834
2021-01-15    13.370501
2021-01-16    18.350737
2021-01-17    22.748178
Freq: D, Name: predicted_mean, Length: 1235, dtype: float64","date
2021-01-18     9.646518
2021-01-19    13.200462
2021-01-20    12.393245
2021-01-21    14.171686
2021-01-22    14.957987
2021-01-23    17.025595
2021-01-24    20.254780
2021-01-25     8.634468
2021-01-26    11.666449
2021-01-27    10.870574
2021-01-28    11.385985
2021-01-29    12.494039
2021-01-30    16.591684
2021-01-31    21.154720
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    24.157
2021-01-19    24.157
2021-01-20    24.157
2021-01-21    24.157
2021-01-22    24.157
2021-01-23    24.157
2021-01-24    24.157
2021-01-25    24.157
2021-01-26    24.157
2021-01-27    24.157
2021-01-28    24.157
2021-01-29    24.157
2021-01-30    24.157
2021-01-31    24.157
Freq: D, Name: RW_forecast, dtype: float64",349998.0
14,25.0,0.663,5.0,7.0,0.503,0.268,"date
2017-08-17    -1.521889
2017-08-18    -1.552691
2017-08-19    -1.584530
2017-08-20    -1.617049
2017-08-21    -1.650564
                ...    
2021-01-13    21.888762
2021-01-14    27.029746
2021-01-15    19.991966
2021-01-16    34.544662
2021-01-17    40.668428
Freq: D, Name: predicted_mean, Length: 1250, dtype: float64","date
2021-01-18    23.074612
2021-01-19    28.550888
2021-01-20    28.261232
2021-01-21    26.882548
2021-01-22    28.497475
2021-01-23    32.615185
2021-01-24    45.292952
2021-01-25    18.870555
2021-01-26    27.677265
2021-01-27    24.566269
2021-01-28    24.088836
2021-01-29    25.159583
2021-01-30    30.412137
2021-01-31    51.339770
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    52.4748
2021-01-19    52.4748
2021-01-20    52.4748
2021-01-21    52.4748
2021-01-22    52.4748
2021-01-23    52.4748
2021-01-24    52.4748
2021-01-25    52.4748
2021-01-26    52.4748
2021-01-27    52.4748
2021-01-28    52.4748
2021-01-29    52.4748
2021-01-30    52.4748
2021-01-31    52.4748
Freq: D, Name: RW_forecast, dtype: float64",350016.0
15,106.0,0.968,11.0,12.0,0.49,0.19,"date
2017-08-17     -6.679501
2017-08-18     -6.752477
2017-08-19     -6.826729
2017-08-20     -6.902181
2017-08-21     -6.975138
                 ...    
2021-01-13     25.857624
2021-01-14     39.420014
2021-01-15     75.422362
2021-01-16     94.863240
2021-01-17    141.468540
Freq: D, Name: predicted_mean, Length: 1250, dtype: float64","date
2021-01-18     63.086782
2021-01-19     44.653916
2021-01-20     42.541705
2021-01-21     51.448912
2021-01-22     76.554932
2021-01-23    116.622940
2021-01-24    149.811793
2021-01-25     51.930153
2021-01-26     40.708919
2021-01-27     35.560757
2021-01-28     43.398905
2021-01-29     59.408380
2021-01-30    108.660075
2021-01-31    148.561150
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    170.9275
2021-01-19    170.9275
2021-01-20    170.9275
2021-01-21    170.9275
2021-01-22    170.9275
2021-01-23    170.9275
2021-01-24    170.9275
2021-01-25    170.9275
2021-01-26    170.9275
2021-01-27    170.9275
2021-01-28    170.9275
2021-01-29    170.9275
2021-01-30    170.9275
2021-01-31    170.9275
Freq: D, Name: RW_forecast, dtype: float64",350018.0
16,4.0,0.24,4.0,6.0,0.544,0.52,"date
2017-08-18    -1.620946
2017-08-19    -1.639784
2017-08-20    -1.658327
2017-08-21    -1.676593
2017-08-22    -1.694454
                ...    
2021-01-13     9.972242
2021-01-14     8.234766
2021-01-15    13.555645
2021-01-16    14.573066
2021-01-17    12.931095
Freq: D, Name: predicted_mean, Length: 1249, dtype: float64","date
2021-01-18     7.009750
2021-01-19     5.236544
2021-01-20     7.355174
2021-01-21     6.444316
2021-01-22    12.535146
2021-01-23    14.700673
2021-01-24    12.705877
2021-01-25     6.585555
2021-01-26     6.497188
2021-01-27     7.253301
2021-01-28     6.014789
2021-01-29    11.502039
2021-01-30    14.232454
2021-01-31    13.225957
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    12.0214
2021-01-19    12.0214
2021-01-20    12.0214
2021-01-21    12.0214
2021-01-22    12.0214
2021-01-23    12.0214
2021-01-24    12.0214
2021-01-25    12.0214
2021-01-26    12.0214
2021-01-27    12.0214
2021-01-28    12.0214
2021-01-29    12.0214
2021-01-30    12.0214
2021-01-31    12.0214
Freq: D, Name: RW_forecast, dtype: float64",350026.0
17,11.0,0.733,4.0,4.0,0.526,0.36,"date
2017-08-18    -1.254140
2017-08-19    -1.275141
2017-08-20    -1.296177
2017-08-21    -1.317680
2017-08-22    -1.339151
                ...    
2021-01-13     9.259333
2021-01-14    14.949644
2021-01-15     6.299545
2021-01-16    10.475141
2021-01-17    16.208093
Freq: D, Name: predicted_mean, Length: 1249, dtype: float64","date
2021-01-18     9.674184
2021-01-19    14.372193
2021-01-20     9.373631
2021-01-21    14.210741
2021-01-22     8.723168
2021-01-23    14.253344
2021-01-24    16.513305
2021-01-25     7.023350
2021-01-26    12.542668
2021-01-27     7.764816
2021-01-28    11.096285
2021-01-29     7.240084
2021-01-30    12.496926
2021-01-31    17.795928
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    20.923
2021-01-19    20.923
2021-01-20    20.923
2021-01-21    20.923
2021-01-22    20.923
2021-01-23    20.923
2021-01-24    20.923
2021-01-25    20.923
2021-01-26    20.923
2021-01-27    20.923
2021-01-28    20.923
2021-01-29    20.923
2021-01-30    20.923
2021-01-31    20.923
Freq: D, Name: RW_forecast, dtype: float64",350028.0
18,32.0,1.063,7.0,8.0,0.549,0.491,"date
2017-09-05    -4.177334
2017-09-06    -4.180739
2017-09-07    -4.180919
2017-09-08    -4.177387
2017-09-09    -4.168859
                ...    
2021-01-13    20.921982
2021-01-14    22.239521
2021-01-15    31.187835
2021-01-16    22.602855
2021-01-17    37.439897
Freq: D, Name: predicted_mean, Length: 1231, dtype: float64","date
2021-01-18    20.435946
2021-01-19    13.870326
2021-01-20    24.779125
2021-01-21    17.146095
2021-01-22    34.633780
2021-01-23    31.265727
2021-01-24    37.707341
2021-01-25    15.206951
2021-01-26    10.074638
2021-01-27    20.796458
2021-01-28    13.953723
2021-01-29    23.773168
2021-01-30    28.992055
2021-01-31    38.045201
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    48.3559
2021-01-19    48.3559
2021-01-20    48.3559
2021-01-21    48.3559
2021-01-22    48.3559
2021-01-23    48.3559
2021-01-24    48.3559
2021-01-25    48.3559
2021-01-26    48.3559
2021-01-27    48.3559
2021-01-28    48.3559
2021-01-29    48.3559
2021-01-30    48.3559
2021-01-31    48.3559
Freq: D, Name: RW_forecast, dtype: float64",350040.0
19,4.0,0.417,4.0,3.0,0.588,0.222,"date
2017-09-06    -2.605739
2017-09-07    -2.607031
2017-09-08    -2.606775
2017-09-09    -2.605024
2017-09-10    -2.601499
                ...    
2021-01-13     8.501322
2021-01-14    10.234247
2021-01-15    10.055354
2021-01-16    14.433215
2021-01-17    16.958260
Freq: D, Name: predicted_mean, Length: 1230, dtype: float64","date
2021-01-18     7.949197
2021-01-19     6.156245
2021-01-20    10.439192
2021-01-21    16.051856
2021-01-22     8.680685
2021-01-23    18.695452
2021-01-24    10.516993
2021-01-25     6.634618
2021-01-26     4.522156
2021-01-27    10.402406
2021-01-28    14.075632
2021-01-29     7.958179
2021-01-30    16.917234
2021-01-31    10.440978
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    12.8557
2021-01-19    12.8557
2021-01-20    12.8557
2021-01-21    12.8557
2021-01-22    12.8557
2021-01-23    12.8557
2021-01-24    12.8557
2021-01-25    12.8557
2021-01-26    12.8557
2021-01-27    12.8557
2021-01-28    12.8557
2021-01-29    12.8557
2021-01-30    12.8557
2021-01-31    12.8557
Freq: D, Name: RW_forecast, dtype: float64",350046.0
